23.04.2023 09:31:07.291 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.epam.finalProject.Railwayticketoffice.RailwayTicketOfficeApplication for test class com.example.epam.finalProject.Railwayticketoffice.services.StopServiceIntegrationTest
23.04.2023 09:31:07.463 [main] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.epam.finalProject.Railwayticketoffice.services.UserServiceIntegrationTest]: UserServiceIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23.04.2023 09:31:07.463 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.epam.finalProject.Railwayticketoffice.RailwayTicketOfficeApplication for test class com.example.epam.finalProject.Railwayticketoffice.services.UserServiceIntegrationTest
23.04.2023 09:31:07.463 [main] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.epam.finalProject.Railwayticketoffice.services.StationServiceIntegrationTest]: StationServiceIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23.04.2023 09:31:07.478 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.epam.finalProject.Railwayticketoffice.RailwayTicketOfficeApplication for test class com.example.epam.finalProject.Railwayticketoffice.services.StationServiceIntegrationTest
23.04.2023 09:31:08.515 [main] INFO   c.e.e.f.R.s.StopService - StopService: method 'createNewRoute'
23.04.2023 09:31:08.593 [main] INFO   c.e.e.f.R.s.StopService - StopService: method 'change'
23.04.2023 09:31:08.593 [main] INFO   c.e.e.f.R.s.StopService - StopService: method 'delete'
23.04.2023 09:31:08.609 [main] INFO   c.e.e.f.R.s.StopService - StopService: method 'addStop'
23.04.2023 09:31:08.609 [main] INFO   c.e.e.f.R.s.StopService - StopService: method 'check'
23.04.2023 09:31:08.944 [background-preinit] INFO   o.h.v.i.util.Version - HV000001: Hibernate Validator 8.0.0.Final
23.04.2023 09:31:08.978 [main] INFO   c.e.e.f.R.s.StopServiceIntegrationTest - Starting StopServiceIntegrationTest using Java 17.0.3.1 with PID 12892 (started by Полина in C:\Users\Полина\Documents\GitHub\Railway-ticket-office)
23.04.2023 09:31:08.993 [main] INFO   c.e.e.f.R.s.StopServiceIntegrationTest - No active profile set, falling back to 1 default profile: "default"
23.04.2023 09:31:10.001 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.04.2023 09:31:10.110 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101 ms. Found 6 JPA repository interfaces.
23.04.2023 09:31:11.173 [main] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
23.04.2023 09:31:11.204 [main] INFO   o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
23.04.2023 09:31:11.204 [main] INFO   o.a.c.c.StandardService - Starting service [Tomcat]
